Tenant Id,Tenant Name,Create Role,Create User,Create Domain,List Domain,Change Domain,Compliance Status
cdd36bd44e80474785d4605711458dff,Anitha-internal-direct-net,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
cdfcb85bfc9544be83c2f81d2e3592b2,Cisco Contract Renewal Cloud - Openstack Newton,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
cedb2f6630ea4e70897dda6be7488507,Cisco Contract Renewal Cloud - Openstack 2,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
d079697506de40d6acfcfb6beccc1399,rajpa-test,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
d2d6aef3e4f2427f8d2df9f2948ec6f8,ESGNST-NPD-RTP,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
d3155d670da343598a41119a3ae751c8,FINSSE-NPD-RTP,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
d377eb66d59e42c79ff58215129f9080,MMPRD-PRD-RTP,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
d3c0cf0fc1b14ac29f62bae338e1f904,DBA-MongoR-Project-Tesla,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
d6f3b81470274e098bb4f7fa76ad4e4e,EPS-POC,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
d7e33f5f00e44a97a958bf6a93c4edaf,engit-ci-jenkins-rtp,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
d81c041818624c4381904ab2fe18226c,BCI,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
d82a040f0fd84b789fc269813b0c7bfc,ITS-TEST-RTP,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
d8518c8ddfb14f4baa8e7e1677631594,ngcs-devops,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
d86c865ec79e4e8bb37ed67c22b9a6af,EPS-ADMIN-RTP,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
d96d2a91d09b4c3e93d9062b38dc2e7f,tagdev-npd-rtp,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
dab9523e1ef644698edd91b25d0e1b6c,IMCSTG-NPD-RTP,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
dbe45d66aa00465583732c479b95fc91,koen-internal-direct-net,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
df47a19b75d4461fa541898175302c00,TestGraph,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
df6103a6292f4327b90e3181344f225a,tmx-cluster-prod,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
e0eb764a434d49268c1f2f59f88d5d18,CoDE-Playground,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
e378759301ed41c1925b6be17ffaaf06,openstack-qa-tenant-1,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
e5bcb44f8cca4fe392be775edc5a820f,cmdb-datapump-qa-1,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
e819868bd476487e947e337c3391c3f8,hari-internal-fip-net,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
e8b899d8b22c47c0bdd0580f9e3ef3ce,cx-cognitive-labs-elk,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
eaeee0401a3b4877a33dc3548348d4a3,cae-kube-idev-rtp,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Not Allowed,Compliant
