Tenant Name,Tenant ID,Application ID,Application Name,Pod Name,Pod Namespace,Pod Status,Container ID,Image Name,Image ID,Container Start Date,Container Exposed Port ,Compliance_Status
cheewa-stst-int-rtp,8b58e376-9506-11e8-b471-fa163e463fb4,bef98ad1-17c8-4909-a2bb-4ed9b3a3b7ef,Smart Call Home,cheewa-stst-int-rtp-6b87f75665-k7ccs,cheewa-stst-int-rtp,Pending,None,None:Rev64dc2d7e3134cbc8ce7334980318e5b226fe84f8-Bld95-dev,,None,8080/ ,Non-compliant
cheewa-stst-int-rtp,8b58e376-9506-11e8-b471-fa163e463fb4,bef98ad1-17c8-4909-a2bb-4ed9b3a3b7ef,Smart Call Home,cheewa-stst-int-rtp-8467c58dcf-fkc2k,cheewa-stst-int-rtp,Pending,None,None:Rev8d1301456d837ee4a3b72904e4811c96cbe65fee-Bld92-dev,,None,8080/ ,Non-compliant
cnm-nprd-rtp,0cfbd818-e985-11e8-9210-fa163e463fb4,3c60a7a2-c941-4030-9251-14653cbca727,Cloud Native Manager,cnmpir-10-deploy,cnm-nprd-rtp,Failed,docker://31c8610f7ba3e1632107ae003ec49506a3f265a9762751476aa1dd4b89b5204a,registry.access.redhat.com/openshift3/ose-deployer:v3.9.60,docker-pullable://registry.access.redhat.com/openshift3/ose-deployer@sha256:64cee8691ef9493f2f3a8a0f87eaf1b40c7de54f3bc40c1032387d438e853059,None,None,Non-compliant
cold-stg-int-rtp,22774f07-9172-11e8-b471-fa163e463fb4,517d861c-095f-4b24-a955-18b5392f3d9f,COLD,cold-stg-int-rtp-53-deploy,cold-stg-int-rtp,Failed,docker://8ce10f3049c2aa26a01fdc610ae466591fd8bf2d54259160ee487212baccd937,registry.access.redhat.com/openshift3/ose-deployer:v3.9.60,docker-pullable://registry.access.redhat.com/openshift3/ose-deployer@sha256:64cee8691ef9493f2f3a8a0f87eaf1b40c7de54f3bc40c1032387d438e853059,None,None,Non-compliant
cold-stg-int-rtp,22774f07-9172-11e8-b471-fa163e463fb4,517d861c-095f-4b24-a955-18b5392f3d9f,COLD,cold-stg-int-rtp-55-deploy,cold-stg-int-rtp,Failed,docker://225bc4e329512e0710a564dc011dbd536d9e3533830cba0e9221dbee21980c75,registry.access.redhat.com/openshift3/ose-deployer:v3.9.60,docker-pullable://registry.access.redhat.com/openshift3/ose-deployer@sha256:64cee8691ef9493f2f3a8a0f87eaf1b40c7de54f3bc40c1032387d438e853059,None,None,Non-compliant
cpsbicca-dev-extr-rtp,96a233bb-105d-11e9-9210-fa163e463fb4,908d0910-e7f9-4d47-82bd-8740762537e4,CSSO OBI Dashboard,cpsbicca-56-deploy,cpsbicca-dev-extr-rtp,Failed,docker://53844be23d098313ca7a2a8b228f267f2244004faf6dd423a72a47ee20222413,registry.access.redhat.com/openshift3/ose-deployer:v3.9.60,docker-pullable://registry.access.redhat.com/openshift3/ose-deployer@sha256:64cee8691ef9493f2f3a8a0f87eaf1b40c7de54f3bc40c1032387d438e853059,None,None,Non-compliant
cqire-dev,fbbb2c00-fe66-11e8-9210-fa163e463fb4,cdc9ea09-0c6d-40c9-87a2-cb3c1becba60,Avoidable RMA,cqarmaapi-1-deploy,cqire-dev,Failed,docker://2e2b8679a9ad8347fe223f9c840c10177fbb6c7708f14b0b9df75fb3f037ea32,registry.access.redhat.com/openshift3/ose-deployer:v3.9.60,docker-pullable://registry.access.redhat.com/openshift3/ose-deployer@sha256:64cee8691ef9493f2f3a8a0f87eaf1b40c7de54f3bc40c1032387d438e853059,None,None,Non-compliant
cqire-dev,fbbb2c00-fe66-11e8-9210-fa163e463fb4,cdc9ea09-0c6d-40c9-87a2-cb3c1becba60,Avoidable RMA,cqarmaapi-10-deploy,cqire-dev,Failed,docker://9518c137199d2943bb9747c59a1b933167f43ecbaeb89c1e12a6ba221816fb13,registry.access.redhat.com/openshift3/ose-deployer:v3.9.60,docker-pullable://registry.access.redhat.com/openshift3/ose-deployer@sha256:64cee8691ef9493f2f3a8a0f87eaf1b40c7de54f3bc40c1032387d438e853059,None,None,Non-compliant
cqire-dev,fbbb2c00-fe66-11e8-9210-fa163e463fb4,cdc9ea09-0c6d-40c9-87a2-cb3c1becba60,Avoidable RMA,cqarmaapi-11-deploy,cqire-dev,Failed,docker://bf1f02289d803b4e4a04a8f255ed791685efa324bbaa55119cec615c7e65034b,registry.access.redhat.com/openshift3/ose-deployer:v3.9.60,docker-pullable://registry.access.redhat.com/openshift3/ose-deployer@sha256:64cee8691ef9493f2f3a8a0f87eaf1b40c7de54f3bc40c1032387d438e853059,None,None,Non-compliant
cqire-dev,fbbb2c00-fe66-11e8-9210-fa163e463fb4,cdc9ea09-0c6d-40c9-87a2-cb3c1becba60,Avoidable RMA,cqarmaapi-12-deploy,cqire-dev,Failed,docker://a5af143042624c41b349c47b03f1e30cdd8f0214cdb6644d4500bc13fbcd083b,registry.access.redhat.com/openshift3/ose-deployer:v3.9.60,docker-pullable://registry.access.redhat.com/openshift3/ose-deployer@sha256:64cee8691ef9493f2f3a8a0f87eaf1b40c7de54f3bc40c1032387d438e853059,None,None,Non-compliant
